id,smiles,KRAS_G12D_SPR_KD,KRAS_G12D_binding_IC50,pERK_IC50
16,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1F,31.3,54.1,3834.5
17,C[C@H](CN(C)C)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,2209.6,666.2,
18,CN(C)CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,3.1,76.8,3742.5
19,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4)cccc3ccc4F)c3F)c3n2)CCC1,664.8,122,16666.7
20,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4ccccc34)c3F)c3n2)CCC1,967,691.8,
21,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CCCC4)c4ccc3)c3F)c3n2)CCC1,447.5,262.9,
22,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCCN3CCOCC3)c2F)c1,19.6,50.3,1888.7
23,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CCC4)c4ccc3)c3F)c3n2)CCC1,807.2,,
24,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCCN3[C@@H](C4)CO[C@@H]4C3)c2F)c1,5,7.9,2890
25,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCN3CCOCC3)c2F)c1,269.7,338.4,
26,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCN3[C@@H](C4)CO[C@@H]4C3)c2F)c1,27.9,42.1,4282.7
27,CC(C1N(C)CCC1)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,25.9,,1275.8
28,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1C(F)(F)F,58.7,,11736
29,CC(C)N1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCC1,169.6,160.4,13630.9
30,Cn1c(cccc2)c2nc1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,179.5,417.6,9600.4
31,CN1[C@H](COc2nc(N3CC([C@@H](C4)O)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,,1.6,2425.6
32,O[C@@H](C1)[C@H](C2)N[C@@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCc(cc2)ncc2F)n1,,2145,50000
33,Fc(c1n2)c(-c3c4c(Cl)cccc4cnc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,71.7,21.1,2052.1
34,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1OC,119.3,135.4,4207.8
35,OCC(CO)COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,1381.8,475,11332.1
36,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c2c(Cl)cccc2c1,,0.4,107.8
37,OC(C1)CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,494.5,404.8,
38,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCCC(F)(F)F)c2F)c1,750.3,174.2,
39,COCCN(CC1)CCC1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cccc3ccccc23)c2F)c2n1,67770,10000,
40,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@H]3N(CC4)C[C@H]4C3)c2F)c1,1.7,4,4241.8
41,COCCCN(CC1)CCC1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,180.8,76.7,6647.2
42,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1OC,5.6,3.1,637.6
43,CCO[C@H]1CN(C)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,188,72.2,6204.1
44,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(cccc3cc4)c3c(Cl)c4F)c3F)c3n2)CCC1,31.7,33.7,2290.1
45,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,5.1,5.5,840
46,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCCC3)C(F)(F)F)c2F)c1,797.8,720.8,
47,CCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,509.9,264.6,4445.6
48,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(F)(F)F)c2F)c1,930.8,433.9,4875.6
49,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCC2(CCC3)N3CCC2)n1,0.4,5.9,2123.1
50,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@H]3NCCC3)c2F)c1,2.1,2.5,15404.5
51,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CC3)C(F)(F)F)c2F)c1,611.1,291.7,12066.6
52,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(C(F)F)(F)F)c2F)c1,507.4,318.3,8380
53,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1COC1,4369.4,1881.4,
54,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCCC1,117.5,68.7,16666.7
55,OC[C@@H](COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)O,22441.7,6131.3,
56,OC[C@H](COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)O,5168.9,5916.7,
57,OCC(CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)O,1000000,7285.9,
58,OCC[C@@H](CO)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,4733.6,2326.7,
59,OCC(COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)c1cnccc1,1118.3,946.3,
60,[O-][NH+2]1(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCC1,1000000,1660.7,16666.7
61,OC(CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)=O,115.5,4081,
62,Oc1c(C=O)cc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)cc1,,8407.4,
63,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4cc(O)c3)c3F)c3n2)CCC1,,0.4,186.7
64,CC(C)(C)[Si](C)(C)OCC1N(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4cc(O)c3)c3F)c3n2)CC1,,3.3,3971
67,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCc(cccc3)c3F)c2F)c1,1151.1,1245.6,
68,COCCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,292.8,256.6,7530.9
69,OCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,521.6,529.9,16666.7
70,COCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,416.7,356.2,
71,Oc1cc2ccccc2c(-c2ncc3c(N4CC(CC5)NC5C4)nc(OC(CC4)CCS4(=O)=O)nc3c2F)c1,137.6,125.7,16666.7
72,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC3CCOCC3)c2F)c1,507.2,512.9,7260.8
73,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3CCCC3)c2F)c1,666744.3,572.7,5555.6
74,Oc1cc2ccccc2c(-c(ncc2c(N3CC(CC4)NC4C3)nc(N(C3)CC33CCOCC3)nc22)c2F)c1,140.6,188.2,5465.1
75,OCCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,303.7,240.4,16666.7
76,Oc1cc2ccccc2c(-c(ncc2c(N3CC(CC4)NC4C3)nc(N(C3)CC33COCC3)nc22)c2F)c1,196.9,131.2,7412.9
77,OC[C@H](CCC1)N1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,3065.8,3137.6,
78,CC(N(CC1)CCC1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1)=O,367.5,358.3,16666.7
79,Oc1cc2ccccc2c(-c2ncc3c(N4CC(CC5)NC5C4)nc(OC4CCSCC4)nc3c2F)c1,1000000,336.5,
80,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC(CC3)CCC3(F)F)c2F)c1,500000,646.9,
81,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCC(F)(F)F)c2F)c1,320.6,152.9,8288.3
82,Oc1cc2ccccc2c(-c2ncc3c(N4CC(CC5)NC5C4)nc(OC(CC4)CCS4=O)nc3c2F)c1,214.8,226.8,16666.7
83,O=C1N(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,8694.9,
84,Cc1nccn1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,14.4,31.7,5722.3
85,CC(C)Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)ncc1,147.8,453.7,16666.7
86,COc1ncc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)cc1,527559.5,7919.9,
87,Cc1cccc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)n1,195.8,535.6,10553.8
88,Cc(ccc1c2cn[nH]1)c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCCc2nccn2C)c1F,15593.2,7021.4,
89,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCc3ncccc3)c2F)c1,4308.7,679.3,
90,Fc1ccc(cccc2-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCCc4cnccc4)c3F)c2c1,7805.4,4494.9,
91,CC(C)n1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3ccccc3cc3)c3O)c3F)c3n2)ncc1,25.9,32.7,5514.1
92,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCCc1cn(cccc2)c2n1,2303.5,1348.4,
93,FC1(CN(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)F,,104.6,16666.7
94,Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4ccccc34)c3F)c3n2)ncc1,7462.4,3652.5,
95,Cn1c(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)cnc1,1129,561,
96,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCc3ccccc3)c2F)c1,709.6,2221,
97,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1N(Cc2ccccc2)CCC1,5916.9,934.1,
98,Fc(ccc1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c11)c1Cl,,1,388.6
99,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCc3cnccc3)c2F)c1,896.6,623.8,
100,Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCCc4nccn4C)c3F)cccc2ccc1,1089.4,1949.7,
101,Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCCc4cnccc4)c3F)cccc2ccc1,11958.2,8081.6,
102,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCc(cc3)ncc3F)c2F)c1,259.1,95.8,7955.9
103,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCCCN1[C@@H](C2)CO[C@@H]2C1,271.2,371,16666.7
104,Cn1c(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)ncc1,362,1675.8,16666.7
105,COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,2264.8,867.1,
106,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCc3cnccc3)c2F)c1,53.5,155.9,3096.3
107,CN(C)CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,1437,2118.1,
108,Fc(c1n2)c(-c3cccc4ccccc34)ncc1c(N1CC(CC3)NC3C1)nc2OC[C@H]1N(Cc2ccccc2)CCC1,63516.8,4841.5,
109,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,500000,0.5,330.5
110,Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)cnc1,42.3,57.5,16666.7
111,Cn1c(CCNc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)ncc1,275.8,281,
112,Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4)cccc3ccc4F)c3F)c3n2)ncc1,983.3,718.4,
113,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCCc1cnccc1,2503.9,2866.1,
114,Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)ncc1,383.7,482.1,10259.6
115,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1F,333377,174.3,9514
116,Cc1c2c(-c3ncc4c(N5CC(CC6)NC6C5)nc(OC[C@H]5N(C)CCC5)nc4c3)cccc2ccc1,3628.8,1437.7,
117,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(CCC#N)c34)c3F)c3n2)CCC1,1004.8,731.5,
120,CN(C)C(C1)CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,42.1,28.8,2092.9
121,OC[C@H](CC1)N1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1.OC(C(F)(F)F)=O,197,204.2,4077.1
122,CN(C)C(C1)CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,3417.4,3265.3,16666.7
123,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3)c3n2)CCC1,785.7,754.4,
124,CC(C1)(CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1)N,22.7,8.6,11087.4
125,CC(C1)(CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)N,,667.5,
126,CCC(C1)(CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1)N,16.1,9.9,3470.6
127,CC(C1)(CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)N(C)C,864.1,,16666.7
128,CCC(C1)(CN1c1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)N,,500.6,
129,FC1(CC(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)F,,4092.5,
130,Fc1c(-c2c3c(Cl)cccc3ccc2)ncc2c(N3CC(CC4)NC4C3)nc(N(C3)CC33NCC3)nc12,,1647,
131,CN(CC(COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)C1)C1=O,1553,423.9,16666.7
132,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCC1,64.7,60.5,2558.7
133,CC(CCCc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@H]2N(C)CCC2)c1F,112.6,48.8,2048.8
134,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,6.9,3.7,895.4
135,OCC1N(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,2.1,4820.9
136,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC[C@H]1OCCC1,,5150.6,
137,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC[C@@H]1OCCC1,,2633.4,
138,C[C@H](COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)OC,,8067.8,
139,Nc1cccc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)n1,25.4,113.3,5245.1
140,COc1cccnc1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,5591.7,5161.4,
141,Nc1ncc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)cc1,,891.1,16666.7
142,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC(CC1)Cc2c1[nH]nc2,13834,8846.4,
143,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC(CC1)Cc2c1cn[nH]2,14933.6,4563.2,
144,Cn1nccc1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,1702.3,
145,Cn1nc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)cc1,,5002.5,
146,Cn1ncc(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)c1,,2285.7,
147,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCCn1nccc1,18778.9,5876.2,
148,Cn1c(cc(cc2)Oc3nc(N4CC(CC5)NC5C4)c(cnc(-c4c5c(Cl)cccc5ccc4)c4F)c4n3)c2nc1,,5180,
149,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@@H]1OC,,869.5,
150,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCc1cccn2c1ncc2,,1981.1,
151,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4cnc3)c3F)c3n2)CCC1,,387.5,
152,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(N2CCC2)n1,,2647.1,50000
153,CC(C)N1[C@H](COc2nc(N3C[C@H]([C@@H](C4)O)N[C@H]4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCC1,448,50.8,2369.2
154,Cn1c(CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)nnc1,,6533.8,
155,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCC(F)(F)F)n1,70.5,3417,
156,CC(CC1)(C2)NC1CN2c1c(cnc(-c2cc(O)cc3ccccc23)c2F)c2nc(OC[C@H]2N(C)CCC2)n1,500006,9.1,1786.9
157,CN1[C@H](COc2nc(N3CC(CCC#N)(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,22.9,26.6,7998.7
158,CN1[C@H](COc2nc(N3CC(CC4)(C(OC)=O)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,329.9,73.7,4222.3
159,CN1[C@H](COc2nc(N3CC(CC4)(C(N)=O)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,,331,16666.7
160,CN1[C@H](COc(nc(c2cnc3-c4cc(O)cc5ccccc45)N(CC(CC4)N5)CC45Cl)nc2c3F)CCC1,0.3,120.3,6930.7
161,CC(C)(CCc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@H]2N(C)CCC2)c1F,403.2,273.2,16666.7
162,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4(CC4)CC4)c4ccc3)c3F)c3n2)CCC1,554.6,677.3,16666.7
163,O=C(CCl)N(CC1)CCC1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,5552.5,16666.7
164,O=C(c(cc1)ccc1S(F)(=O)=O)NCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,4046,16666.7
165,CN(C1)[C@H](CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c(cc1)ccc1S(F)(=O)=O)=O,,97.8,11068.5
166,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCc2nccn2C(F)F)n1,,1286.1,
167,Cc1nccn1CCOc1nc(N2C[C@H]([C@@H](C3)O)N[C@H]3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,226.2,16142.4
168,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(CF)ncc2)n1,,583,16666.7
169,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(C(F)(F)F)ncc2)n1,,656.9,
170,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCc2nccn2CF)n1,,841.7,
171,OCc1nccn1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,757.4,
172,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(C(F)F)ncc2)n1,,,
173,Cn1c(CCOc2nc(N3C[C@H]([C@@H](C4)O)N[C@H]4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)ncc1,116.7,99.2,10504.3
