,index,smiles,ligand,docking_score_min
736,77986,FC1=CC=CC=C1N1N=CC2=C1CCC[C@@H]2NC1=C2C(=NC3=C2C=CC=C3)N=CN1,s_27____17751870____10814502_S0_T0,-11.8
737,78820,CC1=C2C(=O)[N-]C(=O)N=C2NC(=C1)C(=O)NCC1=NOC(=C1)C1=CC2=CC=CC=C2C=C1,s_22____14323980____5448716_S0_T3,-11.8
738,89669,O=C(N1CCC2=C(C1)C=C(C1=N[N-]N=N1)C(=O)N2)C1=CC=CC=C1C1=NNC=N1,m_280130____17857216____17897834_S0_T2,-11.7
739,43408,CC1=NN=NN1C1=CC(F)=CC(=C1)C1=NC(=NO1)C1=CC=CC2=CC=CC=C12,s_265764____4558042____15071468_S0_T0,-11.9
740,81814,OC1=NC2=CC=CC=C2C(=C1)C1=NC(=NO1)C1=CC=CC(=C1)C1=NNC=C1,m_270196____14772452____10903732_S0_T1,-11.7
741,41218,C1CCC2=C(C1)C=CC=C2C1=NC(=NO1)C1=NC2=CC=CC=C2C=C1,s_265764____13776246____10684896_S0_T0,-11.9
742,5044,O=C(N1CC(C1)N1C=C(N=N1)C1=CN=CC2=CC=CC=C12)C1=CC=CC=C1C1=NNC=N1,m_276010____17281746____17268848____17280448_S0_T1,-12.4
743,74814,C[C@H](N1N=NC(=N1)C1=CC=CC=C1)C(=O)NC1=NC(=O)C2=C(NC3=CC=CC(Cl)=C23)N1,m_11____18322930____6339604_S1_T0,-11.8
744,100630,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3C[C@@H](O)C(C2)N3)=N1,,
745,72318,OC1=CC(=CC2=CC=CC=C12)C1=NN=C(CN2CCC3=C(C2)NC2=CC=CC=C32)O1,m_2230____7876680____12889652_S0_T0,-11.8
746,50310,CC1=CC=C(C2=NC(=NO2)C2=NC=CC3=CC=CC=C23)C2=CC=CN=C12,s_265764____4903266____16472986_S0_T0,-11.9
747,73404,CC1=CC=CC2=C1CCCN2CC1=CC(=O)N2C(NC3=CC=CC=C23)=C1C1=N[N-]N=N1,m_280178____18018978____17996384_S0_T0,-11.8
748,13893,FC1=CC=C(C=C1C1=NC(=NO1)C1=CC=C2NC3=CC=CC=C3OC2=C1)C(F)(F)F,m_270196____17567838____8783538_S0_T0,-12.2
749,99298,CC1(CC2=CC=CC=C2C1)C(=O)NC1=CC=C(C=C1)C1=CC=NC2=CC=CC=C12,s_11____16811636____14188034_S0_T0,-11.7
750,74119,CC1=CC2=CC(C3=NC(=NO3)C3=NC=CC4=CC=C(Br)C=C34)=C(C)N=C2C=C1,m_270196____13143786____8775170_S0_T0,-11.8
751,65622,FC1=CC(NC(=O)C2=CNC=C3C=NN=C23)=CC2=CC=CC=C12,m_22____18185766____21205424_S0_T0,-11.8
752,7856,FC1=CC2=C(C=C1)C1=C(N2)N=C[NH+]=C1N1CC[C@H](C1)C1=CC=CC2=CC=CC=C12,s_27____17514932____11246302_S1_T2,-12.3
753,41810,FC1=CC(NC(=O)C2=CSC3=CC=CC=C23)=CC=C1OC1=CC=CC=C1C1=NN=N[N-]1,m_280130____17857466____17822076_S0_T0,-11.9
754,78746,CN1C(NC(=O)C2=CC=C(C=C2)C2=CC=CC3=CC=CN=C23)=NC2=CC(Cl)=CC=C12,s_11____2264128____10154858_S0_T0,-11.8
755,71856,O=C(N1CCC[C@H]1C1=CN(N=N1)C1=CC=CC2=CC=CC=C12)C1=C2C=COC2=CC=N1,m_276010____17282136____17269456____17281216_S1_T0,-11.8
756,31732,C[C@@H](C1=NC(=NO1)C1=CC2=C(Br)C=CC=C2C=C1)C1=CC=CC2=CC=CC=C12,m_270196____17653450____15613452_S1_T0,-12.0
757,44434,O=C(OCCC1=CC2=CC=CC=C2N1)C1=CC=CC=C1C1=CC=CC2=CC=CC=C12,s_276436____14084382____16658336_S0_T0,-11.9
758,94479,C[C@@H](N1C(=O)N2CCOC3=CC=CC=C3C2=C1[O-])C1=CC=C(C=C1)C1=CC=CC=C1,m_272104____15424656____13223682_S0_T0,-11.7
759,78968,FC1=C(C=CC2=CC=CC=C12)C(=O)NC1=CC=C2CCC3=C2C1=CC=C3,s_11____1307252____15112208_S0_T0,-11.8
760,47847,FC1=CC(Cl)=C(C=C1F)C1=NC(=NO1)C1=CC=C2NC3=CC=CC=C3OC2=C1,m_270196____17567838____8771970_S0_T0,-11.9
761,57980,O=C(NC1=NC2=C(NC=N2)C(=O)N1)C1=CC=CC=C1C1=CC=CC2=CC=CC=C12,s_11____14927814____16658324_S0_T0,-11.8
762,3469,C[C@H](N1N=NC2=CC(Cl)=CC=C2C1=O)C1=NN=C(O1)C1=CC2=CC=CC=C2C=C1,s_7____94277____12427798_S1_T0,-12.5
763,77774,CC1=CC=C2C(OC=C2C(=O)NC(C)(C)C2=CN(N=N2)C2=CC=CC3=CC=CC=C23)=C1,m_276010____17282136____17277908____17280772_S0_T0,-11.8
764,56875,CC1=NN=NN1C1=CC(F)=CC(=C1)C1=NC(=NO1)C1=NC=CC2=C1CCCC2,m_270196____13143778____15071470_S0_T0,-11.8
765,46809,FC1=C2OC=C(C(=O)NC3=NC=CC4=CC=CC=C34)C2=CC=C1Cl,s_11____15479198____17845346_S0_T0,-11.9
766,22469,CN(CC1=CC=CC2=CC=CC=C12)C1=NC2=C(Br)C=CC=C2C(N)=N1,s_27____2013904____19898108_S0_T0,-12.1
767,8460,O=C(NC1=NC=NC2=NNC=C12)C1=CC=C2CC3=CC=CC=C3C2=C1,s_11____15479194____141471_S0_T0,-12.3
768,4497,CC1=CC(=O)OC2=CC(OC(=O)C3=CC=C4NC5=CC=CC=C5C(=O)C4=C3)=C(Cl)C=C12,s_276436____14076272____14100940_S0_T1,-12.4
769,74868,NC1=NC2=CC=C(C=C2O1)C1=CC2=C(OC3=C2C=CC=C3)C=C1,s_271570____17843394____21751672_S0_T0,-11.8
770,7551,CN1C(C)=NC2=CC=C(C=C2C1=O)C1=NC(=NO1)C1=C2NC(C)=CC2=CC=C1,m_270196____19121990____17603032_S0_T1,-12.3
771,74621,C(NC1=CC=CC(=N1)C1=CC=C2OCCC2=C1)C1=C(NN=C1)C1=CC2=CC=CC=C2O1,s_270302____8854872____8324600_S0_T0,-11.8
772,767,CC1=CC=CC2=C1N=C1NC(NNC(=O)C3=CC4=C(O3)C=CC3=C4C=CC=C3)=NN=C21,s_22____21212362____12211500_S0_T0,-12.7
773,64503,CC1=CN(C(=O)N1)C1=CC=CC(NC(=O)C2=C3NC4=C(F)C=CC=C4C(=O)C3=CC=C2)=C1,m_527____9583250____9105042_S0_T1,-11.8
774,52191,CC1=C(C=NC2=C(F)C=CC=C12)C1=CC=C2OC([O-])=NC(=O)C2=C1,s_271570____19635094____21746068_S0_T0,-11.9
775,11665,CC1=NC(=NN1)C1=CC=CC(=C1)C1=NOC(=N1)[C@]12CC[C@H](O1)C1=CC=CC=C21,m_270196____8770866____19882242_S0_T0,-12.2
776,66578,FC1=CC(F)=C2C(OC=C2C(=O)NC2=CC=C3NC=NC(=O)C3=C2)=C1,s_11____14753804____14319774_S0_T0,-11.8
777,57396,FC(F)(C1=NC(=NO1)C1=CC=C(N=C1)N1C=NC2=CC=CC=C12)C1=CC=CC2=CC=CC=C12,s_265764____4558002____16485036_S0_T0,-11.8
778,21583,O=C1N=C2[N-]C(=NN2C2=CC=CC=C12)C1=NC(=NO1)C1=CN=CC2=CC=CC=C12,m_270196____8770656____18335786_S0_T0,-12.1
779,92886,CC1=CC(=CC(C)=C1Br)C1=NOC(=N1)C1=NN2C([N-]1)=NC(=O)C1=CC=CC=C21,m_270196____9423130____18335786_S0_T1,-11.7
